ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412509, 0.545009816936, 0.34899006716, Sinema, Democrat, centrist Democrat, 13, 371, 74, 107
400623, 0.270524844389, 0.476288454814, Wasserman Schultz, Democrat, rank-and-file Democrat, 9, 406, 92, 122
412239, 0.338116032025, 0.412211031488, Welch, Democrat, rank-and-file Democrat, 27, 431, 125, 173
412541, 0.888339131117, 0.732950932456, Barr, Republican, conservative Republican, 18, 214, 236, 390
400030, 0.432772055062, 0.350000506001, Bishop [GA2], Democrat, centrist Democrat, 3, 264, 39, 39
400032, 0.961669556132, 0.797402976637, Blackburn, Republican, conservative Republican leader, 29, 165, 209, 442
412601, 0.8673886559, 0.592348128488, Byrne, Republican, conservative Republican, 20, 226, 156, 177
400074, 0.288462960428, 0.332244069216, Clay, Democrat, rank-and-file Democrat, 6, 294, 76, 80
412477, 0.901554913302, 0.475784411778, DesJarlais, Republican, conservative Republican, 6, 173, 30, 49
400114, 0.376099454062, 0.427692693847, Doyle, Democrat, rank-and-file Democrat, 5, 223, 171, 213
412327, 0.27650688599, 0.404939075153, Fudge, Democrat, rank-and-file Democrat, 8, 205, 112, 160
412463, 0.87629160115, 0.510343991939, Gibbs, Republican, conservative Republican, 7, 173, 111, 163
412485, 0.755170460467, 0.765739081372, Griffith, Republican, moderate Republican leader, 27, 136, 260, 460
400341, 0.791210338649, 0.266449257128, Rogers [AL3], Republican, moderate Republican follower, 7, 97, 40, 44
412396, 0.391949290551, 0.695603735834, Sewell, Democrat, centrist Democratic leader, 7, 262, 193, 247
409888, 0.728133047849, 0.633137925034, Shuster, Republican, rank-and-file Republican, 4, 101, 41, 46
412581, 0.857437064359, 0.686356813759, Stewart, Republican, rank-and-file Republican, 14, 157, 249, 330
400402, 0.386698441531, 0.360535606337, Thompson [MS2], Democrat, rank-and-file Democrat, 13, 215, 125, 210
400411, 0.726920468092, 0.6919893386, Turner, Republican, rank-and-file Republican, 15, 154, 90, 100
412564, 0.829690909392, 0.464033743988, Wenstrup, Republican, rank-and-file Republican, 12, 125, 169, 218
412584, 0.370060786663, 0.426731099036, Heck, Democrat, rank-and-file Democrat, 5, 293, 103, 126
400290, 0.201598819958, 0.331540744656, Napolitano, Democrat, progressive Democrat, 7, 496, 79, 107
412472, 1.0, 0.644577031254, Duncan [SC3], Republican, conservative Republican, 7, 245, 190, 259
400644, 0.737872561689, 0.639791904456, McHenry, Republican, rank-and-file Republican, 11, 60, 218, 296
